Row Labels,Trend t+1,Trend t+2,Trend t+3,APRE t+1,APRE t+2,APRE t+3,Average Trend,Average APRE
vanilla,53.5%,45.0%,50.2%,0.8%,1.3%,1.6%,49.5%,1.2%
100,50.5%,45.0%,50.3%,0.8%,1.3%,1.6%,48.6%,1.2%
155,54.9%,45.0%,50.4%,0.8%,1.3%,1.6%,50.1%,1.2%
239,52.4%,44.6%,50.3%,0.8%,1.3%,1.6%,49.1%,1.2%
369,54.1%,44.5%,49.1%,0.8%,1.3%,1.6%,49.2%,1.2%
569,53.4%,45.1%,50.1%,0.8%,1.3%,1.6%,49.5%,1.2%
879,53.1%,44.8%,50.7%,0.8%,1.3%,1.6%,49.5%,1.2%
1358,53.2%,44.2%,49.9%,0.8%,1.3%,1.6%,49.1%,1.3%
2097,55.0%,45.4%,49.8%,0.8%,1.3%,1.6%,50.0%,1.2%
3238,55.4%,45.7%,50.1%,0.8%,1.3%,1.6%,50.4%,1.2%
5000,52.9%,45.8%,50.9%,0.8%,1.3%,1.7%,49.9%,1.3%
stacked,52.6%,45.6%,50.1%,0.9%,1.5%,1.8%,49.4%,1.4%
100,52.8%,45.0%,50.1%,0.8%,1.3%,1.6%,49.3%,1.2%
155,51.7%,45.0%,49.6%,0.8%,1.3%,1.6%,48.8%,1.2%
239,55.0%,45.0%,49.6%,0.8%,1.3%,1.6%,49.8%,1.2%
369,51.2%,43.5%,48.9%,0.9%,1.3%,1.7%,47.9%,1.3%
569,52.7%,45.6%,49.5%,0.8%,1.3%,1.6%,49.3%,1.2%
879,51.7%,46.5%,51.0%,0.9%,1.4%,1.7%,49.7%,1.3%
1358,53.9%,44.2%,48.9%,0.8%,1.3%,1.6%,49.0%,1.3%
2097,51.3%,43.9%,50.1%,0.9%,1.4%,1.7%,48.4%,1.3%
3238,51.1%,48.3%,50.7%,1.2%,1.9%,2.4%,50.1%,1.8%
5000,54.6%,49.2%,52.6%,1.4%,2.2%,2.6%,52.1%,2.1%
bi,51.5%,44.7%,49.7%,0.8%,1.3%,1.6%,48.6%,1.3%
100,51.2%,44.8%,50.3%,0.8%,1.3%,1.6%,48.8%,1.2%
155,51.9%,44.8%,49.9%,0.8%,1.3%,1.6%,48.8%,1.2%
239,53.5%,44.7%,50.1%,0.8%,1.3%,1.6%,49.4%,1.2%
369,53.9%,44.8%,50.2%,0.8%,1.3%,1.6%,49.6%,1.2%
569,53.0%,44.8%,50.0%,0.8%,1.3%,1.6%,49.2%,1.2%
879,52.9%,45.1%,50.1%,0.8%,1.3%,1.6%,49.4%,1.2%
1358,52.2%,44.6%,49.9%,0.8%,1.3%,1.6%,48.9%,1.2%
2097,54.0%,45.3%,50.2%,0.8%,1.3%,1.6%,49.8%,1.2%
3238,47.3%,44.6%,49.5%,0.8%,1.3%,1.6%,47.1%,1.3%
5000,45.6%,43.2%,46.7%,0.9%,1.4%,1.8%,45.1%,1.4%
cnn,56.8%,45.1%,50.1%,0.8%,1.3%,1.6%,50.7%,1.2%
100,55.8%,45.1%,50.2%,0.8%,1.3%,1.6%,50.4%,1.2%
155,55.2%,44.7%,50.1%,0.8%,1.3%,1.6%,50.0%,1.2%
239,56.2%,44.9%,50.1%,0.8%,1.3%,1.6%,50.4%,1.2%
369,57.9%,44.9%,50.1%,0.8%,1.3%,1.6%,51.0%,1.2%
569,57.9%,44.8%,50.1%,0.8%,1.3%,1.6%,51.0%,1.2%
879,56.2%,44.8%,50.1%,0.8%,1.3%,1.6%,50.4%,1.2%
1358,57.5%,45.0%,49.7%,0.8%,1.3%,1.6%,50.7%,1.2%
2097,57.4%,45.4%,50.2%,0.8%,1.3%,1.6%,51.0%,1.2%
3238,57.4%,45.6%,50.4%,0.8%,1.3%,1.6%,51.2%,1.2%
5000,56.5%,46.2%,50.1%,0.8%,1.3%,1.6%,50.9%,1.2%
conv,52.1%,46.4%,50.0%,0.9%,1.3%,1.7%,49.5%,1.3%
100,55.2%,45.9%,50.3%,0.8%,1.3%,1.6%,50.5%,1.2%
155,54.1%,45.6%,50.5%,0.8%,1.3%,1.6%,50.1%,1.2%
239,56.3%,44.5%,50.0%,0.8%,1.3%,1.6%,50.3%,1.2%
369,56.2%,44.6%,50.3%,0.8%,1.3%,1.6%,50.4%,1.2%
569,55.2%,44.9%,50.3%,0.8%,1.3%,1.6%,50.2%,1.2%
879,50.9%,47.0%,50.5%,0.9%,1.3%,1.6%,49.4%,1.3%
1358,48.5%,48.2%,49.3%,0.9%,1.3%,1.6%,48.7%,1.3%
2097,49.0%,47.5%,50.2%,0.9%,1.4%,1.7%,48.9%,1.3%
3238,47.3%,47.5%,49.9%,0.9%,1.4%,1.8%,48.2%,1.4%
5000,48.1%,48.1%,48.9%,1.0%,1.5%,1.9%,48.4%,1.5%
Grand Total,53.3%,45.4%,50.0%,0.9%,1.3%,1.6%,49.6%,1.3%
